epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,464.113,1.1369,2.00421,1.29424,0.87855,0.58538,0.6696,0.44779,1.17268,2.01605,1.30171,0.000366554,0.000366554,0.000366554
2,936.957,1.04049,1.10896,1.17885,0.64298,0.67521,0.68256,0.45619,1.19072,1.52976,1.35031,0.000707707,0.000707707,0.000707707
3,1394.69,1.0044,1.03531,1.17066,0.67638,0.66871,0.70452,0.48464,1.14385,1.39436,1.31595,0.00101953,0.00101953,0.00101953
4,1870.92,0.98869,0.95544,1.16153,0.82535,0.66958,0.75225,0.52343,1.08451,1.15986,1.25126,0.000979013,0.000979013,0.000979013
5,2346.09,0.96632,0.89044,1.15399,0.76964,0.69237,0.76416,0.53863,1.06048,1.1677,1.24437,0.000935018,0.000935018,0.000935018
6,2812.08,0.93168,0.82633,1.12847,0.81215,0.7159,0.77023,0.55618,1.01328,0.89829,1.18801,0.000891022,0.000891022,0.000891022
7,3248.12,0.91553,0.7631,1.113,0.78451,0.75867,0.79462,0.57067,1.00228,0.88637,1.18065,0.000847026,0.000847026,0.000847026
8,3688.59,0.89268,0.73797,1.09897,0.76033,0.79798,0.81275,0.58541,0.99143,0.83558,1.17897,0.000803031,0.000803031,0.000803031
9,4125.39,0.87624,0.70537,1.10374,0.84116,0.74465,0.8075,0.59339,0.97761,0.77523,1.16857,0.000759035,0.000759035,0.000759035
10,4574.66,0.8596,0.68632,1.08095,0.85161,0.75093,0.82199,0.60221,0.95546,0.7593,1.14882,0.00071504,0.00071504,0.00071504
11,4991.35,0.85242,0.64851,1.07863,0.84749,0.78098,0.83932,0.61492,0.92603,0.72452,1.12991,0.000671044,0.000671044,0.000671044
12,5478.42,0.84255,0.63527,1.07617,0.87246,0.74358,0.84083,0.62506,0.9241,0.68626,1.12083,0.000627048,0.000627048,0.000627048
13,5964.66,0.80628,0.59562,1.05412,0.78832,0.79853,0.82885,0.61644,0.93476,0.67704,1.12269,0.000583053,0.000583053,0.000583053
14,6441.7,0.82545,0.60396,1.05393,0.86232,0.781,0.83469,0.63038,0.92063,0.6381,1.11896,0.000539057,0.000539057,0.000539057
15,6919.49,0.78907,0.57393,1.04002,0.82092,0.85301,0.87378,0.66288,0.88502,0.60036,1.08828,0.000495062,0.000495062,0.000495062
16,7369.12,0.79129,0.53411,1.05582,0.84458,0.85083,0.8819,0.66014,0.90335,0.60899,1.09638,0.000451066,0.000451066,0.000451066
17,9904.09,0.77299,0.49686,1.04167,0.88569,0.82539,0.8849,0.67064,0.86941,0.57143,1.07656,0.00040707,0.00040707,0.00040707
18,10385.2,0.75202,0.47656,1.02442,0.84612,0.87041,0.89289,0.6818,0.86109,0.55854,1.07337,0.000363075,0.000363075,0.000363075
19,10850.4,0.74059,0.47273,1.0208,0.9069,0.83037,0.88545,0.6745,0.86128,0.54371,1.06947,0.000319079,0.000319079,0.000319079
20,11301,0.7244,0.44905,1.00993,0.89531,0.85549,0.8996,0.69875,0.84788,0.52073,1.0596,0.000275084,0.000275084,0.000275084
21,11775,0.7023,0.42929,0.9957,0.89442,0.82516,0.8931,0.69572,0.83401,0.52441,1.05069,0.000231088,0.000231088,0.000231088
22,12239,0.69989,0.42013,0.99938,0.8723,0.87357,0.90059,0.70556,0.82985,0.50098,1.04668,0.000187092,0.000187092,0.000187092
23,12721.4,0.68581,0.40951,0.98729,0.87465,0.86412,0.89563,0.70026,0.82169,0.50365,1.04241,0.000143097,0.000143097,0.000143097
24,13181.2,0.67532,0.39596,0.97817,0.91177,0.84564,0.89814,0.70655,0.81348,0.48615,1.04158,9.91012e-05,9.91012e-05,9.91012e-05
25,13660.4,0.6667,0.389,0.98061,0.89098,0.8612,0.89945,0.70565,0.80533,0.48221,1.03518,5.51056e-05,5.51056e-05,5.51056e-05
